,seed,rmse,nse
0,77653,0.04149269685149193,0.8412636518478394
1,95600,0.04191642999649048,0.7997887134552002
2,26401,0.03638860955834389,0.8353274464607239
3,20768,0.04070991277694702,0.8098684549331665
4,79258,0.033121369779109955,0.87383633852005
5,82844,0.03579326346516609,0.8443744778633118
6,51472,0.03556263819336891,0.8604809045791626
7,14928,0.04043258726596832,0.8172868490219116
8,83287,0.051646724343299866,0.6376569867134094
9,51280,0.03163781762123108,0.8817493915557861
10,15334,0.037424974143505096,0.843161940574646
11,13591,0.04198046028614044,0.810778021812439
12,41092,0.03508731350302696,0.8851069808006287
13,68903,0.03793545812368393,0.8395582437515259
14,40366,0.040896590799093246,0.8407648205757141
15,84174,0.042843129485845566,0.8484357595443726
16,812,0.03919435292482376,0.8307891488075256
17,42550,0.0483056865632534,0.7351260781288147
18,52419,0.04256019741296768,0.8078382015228271
19,95692,0.04462704807519913,0.790285050868988
20,23533,0.04060504958033562,0.8132863640785217
21,82533,0.03794832155108452,0.8296948671340942
22,7183,0.0361812561750412,0.8126058578491211
23,33821,0.04421558976173401,0.7957218885421753
24,74872,0.037107788026332855,0.8396973609924316
25,57576,0.03882027417421341,0.8282328844070435
26,93872,0.03689169883728027,0.8151124715805054
27,75330,0.0364619717001915,0.8868316411972046
28,91434,0.03686657175421715,0.767850935459137
29,82710,0.037801675498485565,0.8238877058029175
30,13579,0.055648282170295715,0.7869576811790466
31,93343,0.04688337445259094,0.735199511051178
32,84459,0.038136329501867294,0.8599177598953247
33,14499,0.0359647274017334,0.8806378841400146
34,97848,0.03879452496767044,0.8410604000091553
35,74558,0.038145530968904495,0.8243235349655151
36,31431,0.036674417555332184,0.8526073694229126
37,13935,0.03258267790079117,0.8752851486206055
38,38858,0.03564164415001869,0.8876479864120483
39,90652,0.04691992327570915,0.7673311233520508
40,78565,0.0421290397644043,0.7809199690818787
41,22611,0.04575806483626366,0.8347005844116211
42,49179,0.04059718921780586,0.8088758587837219
43,85323,0.040117401629686356,0.78981614112854
44,64099,0.04998640716075897,0.7709957361221313
45,30631,0.053021371364593506,0.7486401200294495
46,11379,0.03710319101810455,0.8128087520599365
47,96983,0.04974344000220299,0.7208299040794373
48,23433,0.047899771481752396,0.6998375654220581
49,51783,0.05482185631990433,0.6798585057258606
50,69226,0.038329217582941055,0.8250854015350342
51,32247,0.039908405393362045,0.824005126953125
52,51655,0.04007316380739212,0.8285034894943237
53,28243,0.036707375198602676,0.8696645498275757
54,83668,0.038078028708696365,0.7978344559669495
55,60586,0.035208724439144135,0.8447705507278442
56,17676,0.054701510816812515,0.6934717297554016
57,33376,0.05441402643918991,0.7248371839523315
58,68798,0.03989206627011299,0.7533191442489624
59,67864,0.05373794957995415,0.7129436731338501
60,31203,0.03658830747008324,0.8347753286361694
61,15442,0.03273771330714226,0.8392813205718994
62,14845,0.03481375426054001,0.8500099778175354
63,24977,0.04056735709309578,0.8294283151626587
64,78956,0.06576284021139145,0.40516090393066406
65,86989,0.035169247537851334,0.8694665431976318
66,34307,0.0366167351603508,0.8752186298370361
67,60036,0.040462736040353775,0.7831164598464966
68,49958,0.034539833664894104,0.799920916557312
69,26198,0.04753251373767853,0.7699978947639465
70,53043,0.0499824695289135,0.8050106167793274
71,14941,0.05399376526474953,0.6832095384597778
72,48654,0.03952249884605408,0.7946782112121582
73,13678,0.04419788718223572,0.771826982498169
74,24513,0.04017532989382744,0.8539035320281982
75,24892,0.04871152341365814,0.7528963088989258
76,2200,0.03825721889734268,0.8485475778579712
77,38282,0.03842630237340927,0.8682323694229126
78,72048,0.04680410027503967,0.739672064781189
79,64907,0.043730709701776505,0.7408191561698914
80,77705,0.03935018926858902,0.8372540473937988
81,83756,0.03535590320825577,0.8398271203041077
82,6120,0.04844742640852928,0.7843837738037109
83,77603,0.0386405773460865,0.8499636650085449
84,11445,0.03667273744940758,0.7888440489768982
85,33951,0.048375893384218216,0.7220773696899414
86,8761,0.03929181769490242,0.82613205909729
87,14856,0.046285539865493774,0.6955140233039856
88,48169,0.06109892576932907,0.7378482222557068
89,45701,0.03873826563358307,0.8059827089309692
90,35744,0.039990898221731186,0.766430139541626
91,43786,0.03865537419915199,0.8392985463142395
92,42141,0.035279400646686554,0.8750927448272705
93,57421,0.06301010400056839,0.5264723300933838
94,62296,0.03426568955183029,0.8391804099082947
95,37326,0.03539685904979706,0.8703985214233398
96,75553,0.0651998370885849,0.45421940088272095
97,63382,0.0678410455584526,0.5282216668128967
98,48633,0.04124246910214424,0.7529779672622681
99,11464,0.039082881063222885,0.8298847675323486
